Year,state,Total_Agriculture_forestry_fishing_hunting_mining,Total_Construction,Total_Manufacturing,Total_Wholesale_trade,Total_Retail_trade,Total_Transportation_warehousing_utilities,Total_Information,Total_Finance_insurance_realestate_rental_leasing,Total_Professional_scientific_management_administrative_waste_management_services,Total_Educationalservices_healthcare_socialassistance,Total_Arts_entertainment_recreation_accommodation_foodservices,Total_Otherservices_except_Public_administration,Total_Public_administration,Male,Male_Agriculture_forestry_fishing_hunting_mining,Male_Construction,Male_Manufacturing,Male_Wholesale_trade,Male_Retail_trade,Male_Transportation_warehousing_utilities,Male_Information,Male_Finance_insurance_realestate_rental_leasing,Male_Professional_scientific_management_administrative_waste_management_services,Male_Educationalservices_healthcare_socialassistance,Male_Arts_entertainment_recreation_accommodation_foodservices,Male_Otherservices_except_Public_administration,Male_Public_administration,Female,Female_Agriculture_forestry_fishing_hunting_mining,Female_Construction,Female_Manufacturing,Female_Wholesale_trade,Female_Retail_trade,Female_Transportation_warehousing_utilities,Female_Information,Female_Finance_insurance_realestate_rental_leasing,Female_Professional_scientific_management_administrative_waste_management_services,Female_Educationalservices_healthcare_socialassistance,Female_Arts_entertainment_recreation_accommodation_foodservices,Female_Otherservices_except_Public_administration,Female_Public_administration,Gender_Agriculture_forestry_fishing_hunting_mining,Gender_Construction,Gender_Manufacturing,Gender_Wholesale_trade,Gender_Retail_trade,Gender_Transportation_warehousing_utilities,Gender_Information,Gender_Finance_insurance_realestate_rental_leasing,Gender_Professional_scientific_management_administrative_waste_management_services,Gender_Educationalservices_healthcare_socialassistance,Gender_Arts_entertainment_recreation_accommodation_foodservices,Gender_Otherservices_except_Public_administration,Gender_Public_administration
2020,GA,41142,256723,446684,115220,342825,259986,91244,258766,470097,731565,217600,146628,211645,1977731,33467,232559,308230,81128,188657,193215,55858,116937,281681,178059,110684,81414,115842,1612394,7675,24164,138454,34092,154168,66771,35386,141829,188416,553506,106916,65214,95803,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,HI,6549,37271,15610,11625,47520,31616,7216,35336,49547,100248,68478,18502,52973,260481,4294,33035,11125,7925,22288,21718,4266,15614,30989,30145,37987,8566,32529,222010,2255,4236,4485,3700,25232,9898,2950,19722,18558,70103,30491,9936,20444,Male,Male,Male,Male,Female,Male,Male,Female,Male,Female,Male,Female,Male
2020,IA,47732,81282,206532,39417,105143,64617,16652,106988,86714,251847,48050,43616,43209,652357,41810,74874,151780,30944,60320,52178,8731,45614,50264,62609,23849,25742,23642,489442,5922,6408,54752,8473,44823,12439,7921,61374,36450,189238,24201,17874,19567,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female,Male,Male
2020,ID,28796,50400,66746,17934,60237,31104,8425,35361,54653,113218,29368,21981,35051,337186,24718,46200,50325,14147,34789,25776,5392,15638,35075,35011,15648,13975,20492,216088,4078,4200,16421,3787,25448,5328,3033,19723,19578,78207,13720,8006,14559,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,IL,49585,246256,637605,156299,381839,314787,82888,389346,577313,954141,258293,182813,199438,2505560,43163,224095,457032,106825,217059,241096,49585,193598,343498,265481,145598,102612,115918,1925043,6422,22161,180573,49474,164780,73691,33303,195748,233815,688660,112695,80201,83520,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,IN,31511,147992,520772,67229,207145,145531,32277,134792,195017,486285,115502,88102,96814,1302717,27342,134452,380549,49530,114578,111610,19162,56921,115927,128505,56380,53426,54335,966252,4169,13540,140223,17699,92567,33921,13115,77871,79090,357780,59122,34676,42479,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female,Male,Male
2020,KS,35971,71495,158316,33639,93147,58906,20943,75397,102388,237755,51021,38855,57673,592959,31853,65005,117598,26085,52369,46954,12520,34480,63101,62606,25376,21636,33376,442547,4118,6490,40718,7554,40778,11952,8423,40917,39287,175149,25645,17219,24297,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female,Male,Male
2020,KY,29864,91132,245973,40975,136329,97923,23363,94927,121272,332878,72861,54182,74953,794088,26149,82923,182389,30573,77570,75248,14060,40109,70264,84261,37430,31874,41238,622544,3715,8209,63584,10402,58759,22675,9303,54818,51008,248617,35431,22308,33715,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,LA,58536,126626,134139,43654,142241,90811,22770,83148,135233,359698,106921,63510,95109,800266,51771,113325,110615,32889,74271,72410,13250,32429,81315,79990,50605,36054,51342,662130,6765,13301,23524,10765,67970,18401,9520,50719,53918,279708,56316,27456,43767,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female,Male,Male
2020,MA,8750,155399,276715,65389,198663,104714,62741,221640,391417,644153,133143,91552,119772,1382162,6655,142700,193079,46441,120362,82236,37983,117242,240988,198170,76050,47271,72985,1091886,2095,12699,83636,18948,78301,22478,24758,104398,150429,445983,57093,44281,46787,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male
2020,MD,10295,177010,120164,45193,165117,113906,47333,155477,378910,500640,121317,110034,310342,1222739,8097,157859,84351,33503,95289,87150,28946,75226,227565,141460,66199,55188,161906,1032999,2198,19151,35813,11690,69828,26756,18387,80251,151345,359180,55118,54846,148436,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,ME,10263,34999,49611,11708,49885,20555,7881,35884,44117,123483,22754,17633,25714,251661,8782,32649,39195,9281,29153,16453,4276,14696,25737,34779,11747,10128,14785,202826,1481,2350,10416,2427,20732,4102,3605,21188,18380,88704,11007,7505,10929,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,MI,36023,182646,737683,89603,278776,155757,42834,207063,314352,680484,170539,120779,133684,1806440,29754,166606,549892,66848,156594,117292,25639,88065,189925,184196,89831,70519,71279,1343783,6269,16040,187791,22755,122182,38465,17195,118998,124427,496288,80708,50260,62405,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,MN,46737,132081,346633,70903,181604,102885,35455,180409,221100,453770,97278,75428,91568,1163260,40438,120054,247629,52275,107930,80500,22050,86872,133344,128333,53227,43342,47266,872591,6299,12027,99004,18628,73674,22385,13405,93537,87756,325437,44051,32086,44302,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,MO,37000,143079,291341,66695,203886,131441,41118,175983,212016,489660,116001,85170,113109,1159999,31612,130874,210975,48353,114644,102183,23592,76855,122514,126561,63275,48163,60398,946500,5388,12205,80366,18342,89242,29258,17526,99128,89502,363099,52726,37007,52711,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,MS,21196,64590,141594,24853,88547,65008,11295,45067,60155,235875,57573,37504,57949,492006,18572,59208,101435,18577,49929,51312,7330,17536,34775,52803,26739,23022,30768,419200,2624,5382,40159,6276,38618,13696,3965,27531,25380,183072,30834,14482,27181,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female,Male,Male
2020,MT,26281,30396,21428,9270,40794,20612,5853,22141,30698,79402,24716,14550,25864,202632,21775,27990,16799,7387,24169,16779,3224,8490,18251,22868,13169,8258,13473,149373,4506,2406,4629,1883,16625,3833,2629,13651,12447,56534,11547,6292,12391,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,NC,41706,259168,502450,100794,330937,183024,65737,269955,398924,758741,207428,145092,178718,1911543,34488,235073,346729,72315,184672,139559,42026,127048,236064,194636,108962,86143,103828,1531131,7218,24095,155721,28479,146265,43465,23711,142907,162860,564105,98466,58949,74890,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,ND,29785,22382,22700,11306,27772,17548,3772,18933,19049,67470,14142,11231,16725,166167,26579,19879,17305,9231,16486,14587,2321,7620,10802,17287,7677,7151,9242,116648,3206,2503,5395,2075,11286,2961,1451,11313,8247,50183,6465,4080,7483,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,NE,35392,54643,89197,22389,64379,48605,13382,65133,64944,162363,30505,29257,36645,410776,31437,50407,64589,17516,37210,39908,8194,28702,38538,41838,16083,16876,19478,306058,3955,4236,24608,4873,27169,8697,5188,36431,26406,120525,14422,12381,17167,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,NH,3608,38707,81240,16251,51297,21021,10842,37685,61144,114771,27953,18397,24674,291954,2721,35778,58105,11884,30256,15948,6469,17123,40163,32135,15016,11495,14861,215636,887,2929,23135,4367,21041,5073,4373,20562,20981,82636,12937,6902,9813,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,NJ,10268,200275,310778,121299,279831,218530,93646,320019,462640,690953,170474,115286,169514,1805648,7264,183169,201097,82273,165003,168276,61120,183875,283710,202602,101047,62264,103948,1357865,3004,17106,109681,39026,114828,50254,32526,136144,178930,488351,69427,53022,65566,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male
2020,NM,29122,50706,28987,12443,61473,30359,9183,33439,76795,155711,47163,29808,60715,350667,24798,46633,22081,9424,35574,24543,5845,14024,46987,43820,24448,18174,34316,275237,4324,4073,6906,3019,25899,5816,3338,19415,29808,111891,22715,11634,26399,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,NV,16489,80424,55765,24536,104482,66009,16129,60396,115772,161808,210917,42100,52822,573283,13978,72066,40757,17377,56983,50222,10414,26309,69290,47516,115082,23699,29590,434366,2511,8358,15008,7159,47499,15787,5715,34087,46482,114292,95835,18401,23232,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,NY,39414,402723,473022,170734,538776,400230,205241,642405,866204,1802531,448402,282273,395541,3685679,32246,367360,334740,119276,321217,320192,118191,364015,516719,534788,278560,143592,234783,2981817,7168,35363,138282,51458,217559,80038,87050,278390,349485,1267743,169842,138681,160758,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male
2020,OH,39300,231247,728902,121477,373292,232838,63217,300086,393194,906652,198949,143382,190291,2211559,33316,208865,542384,88401,207795,180263,38062,135926,240899,236679,102768,84797,111404,1711268,5984,22382,186518,33076,165497,52575,25155,164160,152295,669973,96181,58585,78887,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,OK,63657,98031,147135,39187,129398,80396,21149,78423,110802,288447,85822,58487,99784,737814,52419,89897,114668,28527,71959,64717,12988,30381,65133,73963,40748,34437,57977,562904,11238,8134,32467,10660,57439,15679,8161,48042,45669,214484,45074,24050,41807,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female,Male,Male
2020,OR,41948,97148,190369,43991,141764,66745,24395,86004,157792,293347,84031,49690,78711,784573,33749,87345,144503,33102,83450,50630,14908,38986,95528,88472,45624,27927,40349,571362,8199,9803,45866,10889,58314,16115,9487,47018,62264,204875,38407,21763,38362,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,PA,61179,276120,624860,134666,394144,270509,76966,345122,487436,1122078,214097,176440,217380,2476236,51582,253266,461742,98191,225211,211004,48676,162349,296166,321371,115769,103444,127465,1924761,9597,22854,163118,36475,168933,59505,28290,182773,191270,800707,98328,72996,89915,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,PR,5799,33585,73286,23297,70781,29351,12979,45821,65406,165901,42288,29809,78393,369398,4960,31028,45810,17635,40107,23265,7968,18866,42714,47202,26536,20572,42735,307298,839,2557,27476,5662,30674,6086,5011,26955,22692,118699,15752,9237,35658,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,RI,1515,23993,46765,9566,34568,15750,5669,29243,39487,93382,23391,14217,18991,198274,1140,22051,32948,7011,21117,12818,3627,13392,24052,26760,13255,8436,11667,158263,375,1942,13817,2555,13451,2932,2042,15851,15435,66622,10136,5781,7324,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,SC,15487,125008,267934,45847,162120,98735,28293,108974,173796,363087,111638,71124,91275,913850,13039,112696,193438,32299,86288,75146,15642,46607,102727,85937,57046,42686,50299,749468,2448,12312,74496,13548,75832,23589,12651,62367,71069,277150,54592,28438,40976,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,SD,22778,23350,36936,10346,30482,15200,4793,26846,20789,70506,18096,12944,19058,179248,20288,21539,26915,8412,18085,11991,2592,11331,11642,18497,9592,7715,10649,132876,2490,1811,10021,1934,12397,3209,2201,15515,9147,52009,8504,5229,8409,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,TN,22119,161016,351497,66483,224938,165165,40060,154997,229012,509755,144025,93080,117409,1271475,18860,146984,252118,47784,125349,123422,24260,65637,133662,137675,75076,54710,65938,1008081,3259,14032,99379,18699,99589,41743,15800,89360,95350,372080,68949,38370,51471,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,TX,321421,921794,990466,319571,959450,642584,179654,758598,1188897,2099633,615479,428015,493750,5749500,263186,837591,744135,232453,549633,500175,116872,349121,728901,571576,326193,247628,282036,4169812,58235,84203,246331,87118,409817,142409,62782,409477,459996,1528057,289286,180387,211714,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,UT,18941,87307,128732,29997,104394,59246,21413,84777,137557,195675,55477,39628,63075,646302,16112,80666,95877,22741,63337,46109,14058,46748,92537,72492,30457,25340,39828,379917,2829,6641,32855,7256,41057,13137,7355,38029,45020,123183,25020,14288,23247,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male
2020,VA,26355,214228,258406,61207,247732,147327,62087,223478,521868,628608,170901,141470,336104,1690990,22109,192027,188768,44443,138618,113145,39526,102196,320659,166792,90362,73043,199302,1348781,4246,22201,69638,16764,109114,34182,22561,121282,201209,461816,80539,68427,136802,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,VT,6165,16871,28542,5167,21638,7516,3632,12658,20751,59583,14732,8340,13443,120783,4823,15386,20613,4115,12770,6032,2260,5032,12494,18477,7938,4496,6347,98255,1342,1485,7929,1052,8868,1484,1372,7626,8257,41106,6794,3844,7096,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Female
2020,WA,60458,187885,296282,80532,264916,149122,62324,151838,368677,493197,147469,94662,158326,1477366,48081,167712,226231,58770,152360,114196,42711,71392,234170,143026,77768,51103,89846,1038322,12377,20173,70051,21762,112556,34926,19613,80446,134507,350171,69701,43559,68480,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,WI,48337,132040,468615,66827,189776,106764,35561,150484,186263,434741,101313,74160,87837,1187341,40004,120723,338350,48910,105990,81176,21370,62204,109773,112632,56211,42395,47603,895377,8333,11317,130265,17917,83786,25588,14191,88280,76490,322109,45102,31765,40234,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,WV,22195,36082,51602,12377,57558,35215,8651,25042,42760,145733,30041,19549,45096,301261,20632,33290,41376,10350,32733,29243,5371,10629,26281,37928,15238,13070,25120,230640,1563,2792,10226,2027,24825,5972,3280,14413,16479,107805,14803,6479,19976,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,WY,23965,15244,9266,4269,18425,13224,2582,9280,11534,43997,11637,6745,14716,109597,20709,13718,7565,3401,9990,11153,1643,2916,6951,13139,6443,4315,7654,75287,3256,1526,1701,868,8435,2071,939,6364,4583,30858,5194,2430,7062,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,AK,9547,14977,7977,4252,21434,22633,4484,10392,19554,51837,14135,9340,31828,125293,7708,12777,5999,3264,12804,16682,2929,4359,11413,16370,7753,5398,17837,97097,1839,2200,1978,988,8630,5951,1555,6033,8141,35467,6382,3942,13991,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,AL,24334,117336,269763,44562,159263,99689,23857,100903,158239,357996,83131,65980,108438,907770,21260,106372,199764,33302,88496,78246,14545,39539,98471,87905,39978,39157,60735,705721,3074,10964,69999,11260,70767,21443,9312,61364,59768,270091,43153,26823,47703,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female,Male,Male
2021,AR,25715,72976,150922,27768,117466,65087,13580,53150,73376,232120,47703,39250,52253,536724,22216,67211,107606,20144,65798,50548,8617,20786,43109,56605,24023,22905,27156,434642,3499,5765,43316,7624,51668,14539,4963,32364,30267,175515,23680,16345,25097,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,AZ,29925,185424,199458,60413,239131,137465,42097,232986,293645,480596,154028,89729,141360,1314736,23957,166363,148470,45876,139601,103071,27788,111811,178951,146536,86577,51970,83765,971521,5968,19061,50988,14537,99530,34394,14309,121175,114694,334060,67451,37759,57595,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,CA,249275,928837,1417075,405217,1147035,803886,411411,880428,1951349,2524805,877505,540663,736718,7555630,195090,844428,994288,281113,672398,614161,266235,437831,1226119,812027,505922,301317,404701,5318574,54185,84409,422787,124104,474637,189725,145176,442597,725230,1712778,371583,239346,332017,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,CO,49349,186775,173218,59810,189397,110693,63104,177643,321606,421156,135989,84807,123605,1223492,40074,166683,127362,43596,113055,86849,42347,88194,198533,123836,76963,45201,70799,873660,9275,20092,45856,16214,76342,23844,20757,89449,123073,297320,59026,39606,52806,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,CT,5121,82575,166200,34857,105741,58152,26631,140442,154621,306366,63303,46182,57310,703714,3606,75590,118831,24945,63851,44668,16323,74596,96087,89346,36789,24464,34618,543787,1515,6985,47369,9912,41890,13484,10308,65846,58534,217020,26514,21718,22692,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male
2021,DC,486,7143,3792,1877,9788,8185,11504,21041,76268,45370,17613,27889,58375,143433,119,5790,2328,1405,5080,6075,5895,12172,40473,15670,9275,10864,28287,145898,367,1353,1464,472,4708,2110,5609,8869,35795,29700,8338,17025,30088,Female,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female
2021,DE,3744,25217,31356,7400,31615,19258,4251,37013,35854,80894,17512,11337,24333,178992,2905,22683,21557,5080,18752,15108,2598,16933,21670,21873,9672,7149,13012,150792,839,2534,9799,2320,12863,4150,1653,20080,14184,59021,7840,4188,11321,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,FL,57764,620949,429261,208595,747885,449739,130103,618708,983282,1496087,604511,313232,383951,3926193,44080,549051,309369,149762,422206,346305,84349,291329,586434,414751,335248,175745,217564,3117874,13684,71898,119892,58833,325679,103434,45754,327379,396848,1081336,269263,137487,166387,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,GA,41084,265743,448444,114000,348162,269812,91895,261784,490244,752737,213590,143929,212655,2017660,32717,239630,307942,81360,190041,199968,57402,119512,295856,186847,109291,81172,115922,1636419,8367,26113,140502,32640,158121,69844,34493,142272,194388,565890,104299,62757,96733,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,HI,6342,37128,15873,11622,47262,32577,6954,34660,49541,105208,62911,18135,52361,258912,4245,32923,11234,7847,22528,22227,3807,15639,30596,32415,34853,8303,32295,221662,2097,4205,4639,3775,24734,10350,3147,19021,18945,72793,28058,9832,20066,Male,Male,Male,Male,Female,Male,Male,Female,Male,Female,Male,Female,Male
2021,IA,47477,83449,209423,38559,106656,65053,15884,108056,87946,253516,46089,42952,44379,658964,41486,76981,153927,30243,61878,52148,8407,46202,50777,63832,23070,25901,24112,490475,5991,6468,55496,8316,44778,12905,7477,61854,37169,189684,23019,17051,20267,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,ID,28166,54127,69066,18639,60043,31711,8526,37494,57092,116147,29601,23060,36607,345807,24241,49260,51993,14802,34393,25821,5455,16826,36149,35434,16283,14347,20803,224472,3925,4867,17073,3837,25650,5890,3071,20668,20943,80713,13318,8713,15804,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,IL,49193,247525,638582,154179,379765,318275,82151,394630,592208,973586,250835,179654,203424,2526219,42542,224772,458780,104893,219426,243151,49487,197825,355063,269933,139902,101047,119398,1937788,6651,22753,179802,49286,160339,75124,32664,196805,237145,703653,110933,78607,84026,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male
2021,IN,31032,152870,519737,65786,209823,148693,31453,139165,201310,496991,111836,89486,99706,1322101,26625,139126,379870,48908,117537,113708,19522,59909,119079,130906,55479,54782,56650,975787,4407,13744,139867,16878,92286,34985,11931,79256,82231,366085,56357,34704,43056,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female,Male,Male
2021,KS,36161,71341,155108,32851,93600,61030,20071,77620,102319,243225,48818,38089,59689,595211,32140,64937,115043,25082,52895,48808,11929,35931,63260,64810,25071,21277,34028,444711,4021,6404,40065,7769,40705,12222,8142,41689,39059,178415,23747,16812,25661,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,KY,28904,92123,243333,39746,140221,98019,21790,94112,124058,337350,71093,54245,76476,796582,25158,83692,180273,29592,80228,75003,13129,40158,72953,85340,36883,32462,41711,624888,3746,8431,63060,10154,59993,23016,8661,53954,51105,252010,34210,21783,34765,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,LA,55289,125999,132628,43177,143427,88609,22109,81811,135943,364081,101878,62259,97154,797305,49174,112658,108562,33454,75601,70796,12970,33901,82358,82206,47966,35720,51939,657059,6115,13341,24066,9723,67826,17813,9139,47910,53585,281875,53912,26539,45215,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female,Male,Male
2021,MA,9095,159477,281188,63466,202569,107571,61581,225514,410091,656864,125345,88980,123914,1408957,6497,146112,196042,44757,124283,84590,37113,120170,251047,204323,72129,46557,75337,1106698,2598,13365,85146,18709,78286,22981,24468,105344,159044,452541,53216,42423,48577,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male
2021,MD,11036,183554,123233,45582,165406,117541,46856,157084,391015,510984,114691,109896,317030,1246744,8590,162992,86369,33633,96340,89662,29310,76042,234191,145469,62383,55675,166088,1047164,2446,20562,36864,11949,69066,27879,17546,81042,156824,365515,52308,54221,150942,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,ME,10143,37087,50516,11293,49690,21342,8433,37743,45950,125135,21719,17685,26139,256453,8511,34108,39905,8703,28863,17163,4310,15806,27124,35496,11281,9879,15304,206422,1632,2979,10611,2590,20827,4179,4123,21937,18826,89639,10438,7806,10835,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,MI,35256,184014,738065,87671,282404,159320,40633,211412,320759,685289,164509,119980,135890,1817772,28478,167887,549038,65931,159615,119759,24508,90493,194492,187236,87426,70344,72565,1347430,6778,16127,189027,21740,122789,39561,16125,120919,126267,498053,77083,49636,63325,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,MN,47102,134382,347018,70519,183145,104084,33329,181167,225282,460610,91443,75628,94211,1171762,40480,121358,247348,51784,108124,81630,20658,87682,138181,132263,49643,43818,48793,876158,6622,13024,99670,18735,75021,22454,12671,93485,87101,328347,41800,31810,45418,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,MO,36439,145562,292667,66251,204572,132069,38495,179584,216528,494542,113250,85443,113891,1170315,31088,132795,212115,47893,115247,102154,22359,79199,126070,129620,61713,47913,62149,948978,5351,12767,80552,18358,89325,29915,16136,100385,90458,364922,51537,37530,51742,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,MS,20882,66666,140289,23769,88618,66899,10928,46270,60753,237812,55060,37755,57386,493696,18290,61158,101875,18175,48895,52512,7011,17346,34488,54311,25488,23210,30937,419391,2592,5508,38414,5594,39723,14387,3917,28924,26265,183501,29572,14545,26449,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female,Male,Male
2021,MT,25362,32040,20749,8692,40619,20192,6063,21531,32241,80891,23669,15309,26646,204758,21232,29460,16277,7138,23950,16646,3391,8036,19549,23783,12633,8560,14103,149246,4130,2580,4472,1554,16669,3546,2672,13495,12692,57108,11036,6749,12543,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,NC,40370,266790,501843,98985,328900,187126,64302,276470,413369,762548,199326,142589,178651,1924093,33251,241055,346203,70571,183051,143076,41693,131493,245874,197202,103608,84389,102627,1537176,7119,25735,155640,28414,145849,44050,22609,144977,167495,565346,95718,58200,76024,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,ND,28847,22584,22957,10741,27058,16990,3588,19096,19223,68119,14603,11014,16750,165533,25665,20358,17533,8723,16248,14036,2195,7621,11192,18020,7865,6790,9287,116037,3182,2226,5424,2018,10810,2954,1393,11475,8031,50099,6738,4224,7463,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,NE,34547,55472,90697,22092,63647,49614,13016,68005,66571,165061,30014,29659,37996,417362,30751,50781,64993,17206,37098,41234,7985,30926,39541,43258,15900,17348,20341,309029,3796,4691,25704,4886,26549,8380,5031,37079,27030,121803,14114,12311,17655,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,NH,3438,38685,82324,15475,51700,21796,11120,38808,64339,117317,26634,18096,24690,296756,2573,35459,58865,11323,30949,16632,7010,17560,42129,33615,14527,11459,14655,217666,865,3226,23459,4152,20751,5164,4110,21248,22210,83702,12107,6637,10035,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,NJ,10698,208531,322059,121216,291088,223864,97499,334396,486343,719935,164330,120502,176568,1870755,7548,190059,209089,81773,173010,171759,62465,192775,299709,211750,97603,64700,108515,1406274,3150,18472,112970,39443,118078,52105,35034,141621,186634,508185,66727,55802,68053,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male
2021,NM,29092,50684,29355,12438,59848,31441,8775,33709,79737,156169,45152,27944,61948,352182,24773,46685,22424,9238,33727,25653,5601,14112,49358,45055,23647,17634,34275,274110,4319,3999,6931,3200,26121,5788,3174,19597,30379,111114,21505,10310,27673,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,NV,16712,84036,58700,23137,104281,69099,16013,62495,117077,167308,192375,40418,54677,574378,13932,75637,42886,17093,56522,52076,10453,27293,70285,49621,104734,23454,30392,431950,2780,8399,15814,6044,47759,17023,5560,35202,46792,117687,87641,16964,24285,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2021,NY,38116,414280,472847,168360,540728,410757,208285,657754,899915,1869749,430357,280946,403536,3747621,30780,377322,336431,117976,322288,327864,119236,371274,535889,561333,265568,141754,239906,3048009,7336,36958,136416,50384,218440,82893,89049,286480,364026,1308416,164789,139192,163630,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male
