Year,state,Total_Agriculture_forestry_fishing_hunting_mining,Total_Construction,Total_Manufacturing,Total_Wholesale_trade,Total_Retail_trade,Total_Transportation_warehousing_utilities,Total_Information,Total_Finance_insurance_realestate_rental_leasing,Total_Professional_scientific_management_administrative_waste_management_services,Total_Educationalservices_healthcare_socialassistance,Total_Arts_entertainment_recreation_accommodation_foodservices,Total_Otherservices_except_Public_administration,Total_Public_administration,Male,Male_Agriculture_forestry_fishing_hunting_mining,Male_Construction,Male_Manufacturing,Male_Wholesale_trade,Male_Retail_trade,Male_Transportation_warehousing_utilities,Male_Information,Male_Finance_insurance_realestate_rental_leasing,Male_Professional_scientific_management_administrative_waste_management_services,Male_Educationalservices_healthcare_socialassistance,Male_Arts_entertainment_recreation_accommodation_foodservices,Male_Otherservices_except_Public_administration,Male_Public_administration,Female,Female_Agriculture_forestry_fishing_hunting_mining,Female_Construction,Female_Manufacturing,Female_Wholesale_trade,Female_Retail_trade,Female_Transportation_warehousing_utilities,Female_Information,Female_Finance_insurance_realestate_rental_leasing,Female_Professional_scientific_management_administrative_waste_management_services,Female_Educationalservices_healthcare_socialassistance,Female_Arts_entertainment_recreation_accommodation_foodservices,Female_Otherservices_except_Public_administration,Female_Public_administration,Gender_Agriculture_forestry_fishing_hunting_mining,Gender_Construction,Gender_Manufacturing,Gender_Wholesale_trade,Gender_Retail_trade,Gender_Transportation_warehousing_utilities,Gender_Information,Gender_Finance_insurance_realestate_rental_leasing,Gender_Professional_scientific_management_administrative_waste_management_services,Gender_Educationalservices_healthcare_socialassistance,Gender_Arts_entertainment_recreation_accommodation_foodservices,Gender_Otherservices_except_Public_administration,Gender_Public_administration
2019,ID,29081,46472,65652,18291,59910,29365,8304,31915,52739,108671,30509,21131,34193,326379,25365,42693,49820,13877,34914,24333,4994,14186,33602,32815,16027,13080,20673,209854,3716,3779,15832,4414,24996,5032,3310,17729,19137,75856,14482,8051,13520,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,IL,50445,240178,654223,159910,382588,312734,85591,383240,562744,934888,269064,181383,197255,2510781,43782,219765,467434,110926,218191,240250,51334,191116,337135,259958,152617,101383,116890,1903462,6663,20413,186789,48984,164397,72484,34257,192124,225609,674930,116447,80000,80365,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,IN,32340,142181,528817,68766,204883,139836,34702,136463,191888,473783,117630,87527,95463,1300080,28222,129958,386843,50803,113250,108343,20763,57302,115237,124821,57410,53014,54114,954199,4118,12223,141974,17963,91633,31493,13939,79161,76651,348962,60220,34513,41349,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female,Male,Male
2019,KS,36067,71449,156704,33983,91259,57413,21920,72773,102141,236506,51704,38727,57481,592520,32036,64953,117760,25926,51599,46426,13492,32674,62736,63165,26371,22398,32984,435607,4031,6496,38944,8057,39660,10987,8428,40099,39405,173341,25333,16329,24497,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,KY,32426,87676,248021,40573,135453,94626,23009,91318,116818,328268,74679,54814,74778,788312,28779,80805,183538,30156,75091,72374,13813,39327,68683,83099,38341,32599,41707,614147,3647,6871,64483,10417,60362,22252,9196,51991,48135,245169,36338,22215,33071,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,LA,60484,129317,135005,43064,144260,90583,23324,84821,133784,351174,111133,62613,95236,803878,53293,116201,110495,32763,75187,72160,14061,33501,77994,78141,52426,35522,52134,660920,7191,13116,24510,10301,69073,18423,9263,51320,55790,273033,58707,27091,43102,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female,Male,Male
2019,MA,8158,153874,274843,65010,200836,102655,63047,220359,376155,635011,140237,92848,118654,1378568,6093,141792,193991,46808,122607,80643,38465,115024,235341,197117,80183,47442,73062,1073119,2065,12082,80852,18202,78229,22012,24582,105335,140814,437894,60054,45406,45592,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male
2019,MD,9924,170929,118005,45016,167513,113667,48673,154153,378057,498607,127757,110742,308327,1222172,7965,153879,83832,33465,96757,87124,29691,74607,227185,141552,70038,55165,160912,1029198,1959,17050,34173,11551,70756,26543,18982,79546,150872,357055,57719,55577,147415,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Female,Male
2019,ME,10228,34151,50332,11635,49815,20078,8386,34848,42861,121404,22998,17464,24168,249436,8746,31769,40195,9218,29313,15878,4827,13848,24899,34462,11600,10323,14358,198932,1482,2382,10137,2417,20502,4200,3559,21000,17962,86942,11398,7141,9810,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,MI,36752,176952,747810,89918,277975,155506,44150,200475,309313,673658,178161,122628,131216,1816181,30665,162179,558554,67389,157303,117699,26974,86742,188085,182183,93720,72511,72177,1328333,6087,14773,189256,22529,120672,37807,17176,113733,121228,491475,84441,50117,59039,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
